source	target	patristic_distance	sequence_distance	n_sites	lca_level
BBLOE946-12	LNAUV1570-17	0.522431	0.116007	568	5
AIELL133-23	LNAUY2963-19	0.204883	0.0887694	657	17
BLPBE062-07	CMAZA059-09	0.123942	0.101593	654	50
GWORA2145-09	GWOUE889-20	0.153515	0.112065	657	59
ANICQ1715-11	GMRSA4633-14	0.11907	0.0907717	644	28
GWOSB738-10	LEPKA677-09	0.101776	0.0592373	657	49
BHULP719-22	INSSD633-20	0.137098	0.100319	653	32
GWORE165-08	GWOUE926-20	0.140194	0.151019	657	73
GWORE1626-09	GWORE1674-09	0.447335	0.10998	657	68
BBLPC734-09	BBLSX934-09	0.110519	0.066361	656	64
MAMOT2404-12	YAWAC041-15	0.315097	0.0874697	632	32
ANLMN616-21	ANLMN623-21	0.178186	0.0187229	653	35
GWOTZ592-21	LNAUZ387-22	0.274733	0.137835	473	56
LNAUV1572-17	MNAP1195-13	0.205869	0.115423	656	6
LNAUU384-15	MOTAR540-12	0.0647404	0.0190802	641	45
ANICW1407-11	BGSNL2102-24	0.207252	0.115434	655	11
ABOLD083-16	RIOGU1163-22	0.242318	0.114922	657	19
ABLCV345-09	GWOTS165-17	0.0863107	0.0906007	634	68
GWORE165-08	GWOUF455-20	0.144935	0.112101	656	73
BHULP249-22	GBMIN82127-17	0.0284333	0.0362935	657	44
BLPDL1716-10	RDNMD376-06	0.0377603	0.0233341	657	35
BCIOM992-25	LOCRI644-11	0.0839133	0.0525091	632	39
LNAUT1444-14	LNAUT1493-14	0.0988406	0.0811184	657	52
GWORO300-09	GWOTH429-12	0.106308	0.0311516	657	54
GWORL897-09	GWOTM866-14	0.162757	0.0664789	638	64
ASARD5257-12	LASDG156-19	0.0993374	0.0641376	655	52
ANICW1435-11	BGSNL2115-24	0.262873	0.130267	653	7
LEPWP5008-25	LEUAE786-12	0.195331	0.124654	656	11
ANICW1075-11	ANICW1079-11	0.0821699	0.0553977	657	15
BLPDV887-11	GWOUI655-21	0.219152	0.138606	657	16
ARISE1827-26	FBLMZ589-12	0.0982789	0.0703732	657	22
SASKA320-09	SASNA313-08	0.0445367	0.0221628	644	41
GWORR146-10	GWORU734-10	0.059252	0.046943	599	52
BLPAA11639-18	BLPDA2202-19	0.194999	0.131134	657	13
BCLEP4148-23	PMANL1547-11	0.265646	0.178914	654	2
GWORN583-09	GWOTM906-14	0.288041	0.151832	656	53
GBGL26551-19	HYPOS160-23	0.549747	0.117399	654	14
EUPTB046-10	TBMOT1252-11	0.238418	0.130506	635	28
ASARD2317-12	GBAAX58170-24	0.119448	0.0626376	653	39
SASKA354-09	SAVSE1301-16	0.126762	0.0233705	656	35
ARCTA155-07	ARCTC519-10	0.026221	0.0169839	657	47
AKLEP340-23	CRQUD10249-24	0.0978273	0.0853585	657	43
GWOUE888-20	LOCRE378-10	0.166996	0.141715	656	69
GBGL26602-19	GBMIN79302-17	0.0320738	0.093467	649	10
LNAEN526-06	LNAEN555-06	0.0606354	0.0641528	651	28
CNPYD412-10	LSAFR1332-12	0.178663	0.102619	657	23
LPYPB009-08	LPYPB309-08	0.171594	0.0828758	657	37
GWORM989-09	LOCB210-06	0.167534	0.118173	657	74
GBAAW71800-24	HSPEB330-09	0.0987186	0.127465	657	15
BBLOC1511-11	CNCLA1906-13	0.072215	0.0752224	657	13
GWOTM504-14	HYPOS243-23	0.762429	0.127443	657	0
HYPOS279-23	PMANL4833-15	1.12304	0.156109	563	1
SARBF4348-20	SOWE882-10	0.243771	0.119072	657	32
CNCLB2390-14	NGSFT2541-16	0.678387	0.127092	556	2
BBLPA395-10	BLPAA1152-17	0.105733	0.0686377	657	30
ABOLD083-16	BLPAA21127-20	0.112914	0.0991227	657	19
BLPAA2555-17	GWOTF276-12	0.248643	0.097562	657	49
GBAAZ18773-24	GBGL26552-19	0.848085	0.155442	656	0
ARCTD297-12	ASARC1201-11	0.13225	0.0735954	657	40
ARCTD412-12	LEPPC772-15	0.0294683	0.0529357	656	49
GWONA939-14	LOCRF591-11	0.12078	0.0837697	657	40
ATLAS216-22	GWOSU981-11	0.0666056	0.0360724	656	32
GBMIN80139-17	GWOTK639-12	0.0915015	0.0526241	657	30
HELA189-22	RCSWN190-24	0.30774	0.186186	657	39
GWORU627-10	GWORU659-10	0.0441176	0.0458362	657	61
LNAUS5724-13	LNAUY1509-19	0.419893	0.118134	568	40
GWORU736-10	GWOUF455-20	0.18492	0.15494	656	77
GWORD1321-08	GWORM938-09	0.0963981	0.0138898	657	71
BBLPC423-09	CRQZA18717-22	0.274135	0.133639	652	67
LBEOW1686-11	LBEOW1697-11	0.088081	0.0407894	657	45
GBAAZ51581-26	LNAUT720-14	0.0526572	0.0264929	657	32
AFLAS092-14	AFLAS093-14	0.232794	0.0860657	657	54
GBGL26614-19	HYPOS102-23	0.212147	0.106394	656	6
GWOTH652-12	NGSFT2541-16	0.672386	0.135666	556	2
GBGL26605-19	GBGL26608-19	0.0377009	0.0477998	651	7
ANICW1143-11	ANICW1146-11	0.0985083	0.0525561	657	15
ANICR1270-11	ANICR1285-11	0.0406277	0.0264604	657	35
EPNG3500-11	LNAUV1572-17	0.346244	0.127961	656	3
GWOSQ581-11	GWOSR548-11	0.117488	0.119346	656	52
ABLCX200-10	GWORD1321-08	0.215974	0.143639	488	69
LEPNF573-14	LNAUS5280-13	0.0896473	0.0377695	657	58
ANICU457-11	ASMII12170-22	0.108606	0.0619769	404	25
ABOLA628-14	GBAAN178-25	0.282693	0.17129	640	8
BLPCF706-08	NGEOD312-11	0.067448	0.106443	657	46
GBAAZ1369-24	KBGPB061-18	0.328865	0.0847621	550	47
BCLEP4148-23	IBILP1493-19	0.096472	0.0660146	654	5
GBGL26610-19	GBMIN79317-17	0.0221573	0.04608	656	9
DEFRA1507-26	EHL408-12	0.312441	0.114956	655	43
ANICW1511-11	NZLEP274-20	0.30571	0.127649	657	11
GBAAM33003-25	QUNOC407-13	0.161135	0.0458893	657	40
BLPBD339-07	GWOSP826-11	0.0899622	0.109874	657	46
BLPDX1229-11	CIBFA19267-25	0.0768758	0.106162	657	27
BLPDM2288-10	BLPDV2434-18	0.0906518	0.0933036	621	70
ASARD2023-12	LYPIE001-09	0.0966292	0.0593924	657	27
ANICW1439-11	LEASW1289-20	0.15096	0.10614	657	7
SAKZB3343-22	SUBHB2269-22	0.1659	0.083297	651	29
EZCH181-07	EZCH609-07	0.0745796	0.0312064	657	43
BCLEP2882-23	GWORU716-10	0.116361	0.109593	654	72
LEPWP5008-25	MNAQ1415-18	0.279893	0.140475	657	8
CNCLA2736-13	LNAUS642-12	0.140544	0.0841204	406	34
GBAAX64666-24	GBAAX64942-24	0.0540236	0.0364304	595	30
ATLAS254-22	VNMB2641-24	0.0972436	0.0377224	657	21
GWORE1626-09	GWORK611-09	0.323892	0.137556	657	66
GWORI826-09	LOCRD483-10	0.0865533	0.0504966	657	45
BBLOE946-12	GBAAM31882-25	0.337308	0.151429	657	3
CRQUC16835-23	NGEOC012-10	0.134758	0.159811	657	68
PMANL4833-15	PMANL4838-15	0.622078	0.0695525	563	2
ANICL567-10	MAMOT620-10	0.113775	0.0991591	657	20
GWOSL547-11	GWOST924-11	0.137187	0.105072	656	34
GWOR4536-09	GWORH121-09	0.158279	0.104832	657	67
LASDG165-19	LASDG341-20	0.0881838	0.0998029	652	50
LEPNF482-14	LNAUU1686-15	0.113137	0.0974581	606	46
BLTIB007-08	GWOUP1155-25	0.140989	0.110779	657	67
HPPPI145-13	IMLQ934-08	0.393653	0.186353	656	13
BLPAA13225-18	CNCLA2650-13	0.0591261	0.0494102	657	35
ABOLE1793-26	IBILP982-19	0.17933	0.0736976	657	53
GWORE068-08	GWORM989-09	0.110404	0.121457	657	72
BBLPC812-09	LOWCC791-05	0.234811	0.0829658	657	56
LASDG316-20	LASDG648-22	0.0710268	0.110162	656	57
GWOSG124-10	GWOTF388-12	0.0697109	0.0688665	657	49
GWORM989-09	LPANT360-21	0.0991385	0.141935	652	74
GBLAA1205-15	GWOSA163-10	0.1389	0.0841029	657	55
DEPAL1167-24	GWOTL1015-13	0.349754	0.123667	657	63
ANICK610-10	ANICK616-10	0.0940903	0.0804331	657	27
GRACI462-09	GRPAL604-11	0.0898701	0.102979	657	44
ANICX1998-11	LEFIA977-10	0.148071	0.10372	653	31
BLPDV714-11	GMCEC51991-21	0.152102	0.168091	652	25
GWORE1815-09	GWOTT102-17	0.0620609	0.0905052	657	45
GFBUT067-21	RIOGU163-21	0.0802402	0.111412	406	24
GWOTR201-16	GWOUE888-20	0.182998	0.156905	656	65
GBGL26587-19	HYPOS274-23	0.40751	0.131728	656	7
BBLOC1977-11	TONAB873-10	0.083111	0.0217158	657	62
GWORE165-08	LPANT360-21	0.100109	0.122588	652	73
BBLOB415-11	GWORE1382-08	0.254737	0.165694	370	4
BCLEP561-21	CNCLB566-14	0.134172	0.0856234	657	26
CRLSB3220-24	CRPEC2550-21	0.0984791	0.0894967	654	28
GBGL26592-19	GBGL26601-19	0.0379278	0.059488	656	13
BLPDE754-09	BLPDK962-09	0.103068	0.16356	656	33
BLPDR716-10	CRMNE730-24	0.154822	0.170209	657	21
ANIAF1015-11	ANIAF1927-11	0.242769	0.114363	643	18
GWOUK093-22	LIMBC347-10	0.23756	0.126013	647	26
LEAST656-17	PHLAD559-11	0.100748	0.0742243	657	24
GWOR5406-13	GWORR142-10	0.278042	0.101381	657	61
GWORM380-09	GWORM386-09	0.0281304	0.0124695	406	63
ARCTA180-07	ARCTB129-08	0.159902	0.101254	657	36
ABLCW285-10	LEPMY2129-18	0.0882245	0.151623	600	44
LNOUB110-10	MIAPD716-15	0.202344	0.116896	657	20
GBGL26527-19	GBGL26553-19	0.0626054	0.104547	656	5
ABOLD110-16	GWORG824-08	0.0843601	0.0769435	657	52
CIOSK5445-24	CISSD21626-24	0.225378	0.106501	657	50
GBGL26587-19	LNAUV1454-17	0.724047	0.162699	561	1
CRBAF5415-22	LEPPC1328-15	0.147777	0.0660453	652	34
GWOSM429-11	GWOTN546-15	0.113951	0.104709	657	52
GWORL073-09	GWOTM048-14	0.178597	0.114956	655	52
ANICF954-10	LNAUW4293-18	0.667908	0.172248	562	18
GBAAM27541-25	VNMB2174-23	0.193326	0.131283	657	17
CRBTA7463-24	CRSIA13513-21	0.31896	0.182673	654	17
GBLAF070-14	GWOTT193-17	0.0778103	0.0233031	657	48
ASARD5328-12	ASARD5330-12	0.0580326	0.0248955	657	56
GWORB750-07	LOTSA187-06	0.243723	0.14223	657	54
GWORE1577-09	LOCRE127-10	0.0805735	0.0909604	656	65
LOCRE111-10	LOCRE121-10	0.0868858	0.135972	657	66
DEPAL1167-24	LBCG460-08	0.345236	0.0493525	656	66
SASNC246-11	SASNC250-11	0.260796	0.109196	644	38
GWORP135-09	GWORP846-09	0.203926	0.0956985	536	65
GWORE165-08	GWORU736-10	0.211719	0.141366	657	73
ALSTB1496-17	ANICW1455-11	0.1781	0.0952402	604	15
GBMIN86780-17	NZLEP661-25	0.189908	0.14578	582	29
LBEOA613-11	LBEOW129-10	0.0715135	0.0642763	657	40
CRQUC16835-23	GWOSS724-11	0.179267	0.18374	656	70
ABOLD682-20	LEALT1025-19	0.0934699	0.0248655	657	59
GWORU847-10	GWOSB937-10	0.0490048	0.0185797	657	63
GSCMA1117-11	GSCMW636-09	0.0612245	0.0297445	657	45
GBGL36483-19	GWORL1485-16	0.143214	0.0928321	630	16
GSCMA340-10	GSCMA834-10	0.0378419	0.03136	657	45
LBEOA1215-11	LTOLB1381-11	0.225262	0.149627	657	14
CRQZC5978-23	GWOSS724-11	0.149512	0.181103	656	71
GWORM361-09	GWOSO594-11	0.122767	0.139536	632	59
FGMLF921-15	FGMLH031-16	0.130119	0.150002	657	35
BBLSY866-09	BLPAA1735-17	0.110426	0.0585488	657	26
FAHAA196-18	TRIN465-24	0.233118	0.112377	518	17
GWORA878-08	GWORF785-12	0.266358	0.10663	657	27
GBGL26575-19	GBGL26576-19	0.020646	0.0344862	656	10
KSLEP1443-19	RDNME893-08	0.0658437	0.0228132	582	37
GWOUE926-20	LPANT360-21	0.144495	0.175546	652	75
GWORR484-10	GWORT1338-15	0.0921343	0.102766	656	51
GBGL26463-19	GBMIN79300-17	0.095741	0.0737134	656	4
GBMIN87710-17	LASDG573-21	0.407089	0.234317	653	20
CRQZA18717-22	LOCBB068-06	0.0908077	0.135212	652	77
CATS297-10	EPNG5797-12	0.0349627	0.0248955	657	33
FRLAR446-18	GWOR4978-09	0.216444	0.150518	650	70
BGSNL3003-25	RDNMC529-06	0.537435	0.1358	567	40
COEUA082-11	ILECA2255-25	0.11964	0.125987	656	37
GWORM386-09	GWORM390-09	0.301699	0.103082	406	60
AFLAS051-14	EPNG9959-17	0.319258	0.162296	657	36
ABLCV482-09	GWOUE929-20	0.173251	0.118257	656	66
GEOMB189-20	GWORU823-10	0.0762667	0.0958435	657	49
BMAD127-15	BMAD145-15	0.0719397	0.0998259	656	32
LEGEL078-18	LEGEL124-18	0.0813117	0.103493	657	25
BSNTN1587-24	LPALE1306-23	0.0548326	0.012329	656	48
GWOSM604-11	GWOTE733-12	0.221431	0.0971135	626	38
BLPAA30379-21	BLPAA30449-21	0.104237	0.125938	509	23
IBLPC799-11	PYRCR203-12	0.185834	0.0803623	657	25
ANICD022-10	GBMIN21210-13	0.253276	0.172811	656	13
CGCM417-08	SACMA118-09	0.025963	0.0360937	657	51
BHULP046-22	DQGM477-08	0.133075	0.0490471	657	38
BLPCK655-08	LGSMB307-05	0.371597	0.108307	595	21
CBIHI292-18	GBMIN70932-17	0.22389	0.15992	653	14
GBGL26598-19	PMANL4831-15	0.788593	0.142717	656	1
GBAAN226-25	GBAAN236-25	0.0391276	0.0433835	548	17
GWOR5130-09	GWORM361-09	0.280024	0.127932	657	56
ANIAB752-11	NSWHN1110-11	0.167616	0.173073	538	25
SASNC3235-15	STBOE159-10	0.0423661	0.0232757	657	42
ANIC238-06	BHULP022-22	0.0370402	0.0313249	656	34
BBLPC423-09	FRLAR446-18	0.0670054	0.0248955	657	72
BSNTN200-23	GWOSR570-11	0.117389	0.112065	657	57
DUNLP080-08	GWORU635-10	0.191541	0.159365	583	62
BLPDM1085-10	BLPDN1125-10	0.162453	0.134889	657	15
GWORM989-09	GWOUF455-20	0.143965	0.155067	656	74
GBGL26455-19	HYPOS293-23	0.31327	0.110355	656	13
AFTOR438-14	CMAZA411-10	0.147418	0.113202	657	48
BBLOD578-11	CIOSB37066-23	0.0577131	0.0300724	651	32
BLPDM2288-10	GWORD1321-08	0.126994	0.103583	657	69
GWORE1531-09	GWORG205-08	0.184966	0.0966294	656	35
CMBUT286-09	GBAAX69066-24	0.11288	0.124789	655	19
ARCTA116-07	ARCTA119-07	0.0780909	0.0652132	657	39
LEASU936-18	MHMYE423-09	0.322285	0.178819	657	26
ABLCV430-09	CNCLB1474-14	0.0352313	0.0265687	657	59
BLTIB630-08	RDLQG910-06	0.035145	0.0127617	634	36
LEPMY2688-22	LEPMY557-13	0.056579	0.0398317	652	53
GWOSS714-11	NGSFT2707-16	0.129956	0.112602	656	59
GWOSO423-11	GWOSO425-11	0.131481	0.0443485	657	45
CATSE134-13	GWORU003-10	0.0616377	0.11314	564	65
GBMIN79306-17	GBMIN79308-17	0.0584007	0.108889	644	7
ARISE2102-26	ARISE2109-26	0.0448995	0.0312393	657	30
ANIC696-06	ANICM079-10	0.156318	0.101096	657	21
BGSNL2205-24	BLPDM2071-10	0.303734	0.152407	654	17
LOCRD074-09	LOCRE977-10	0.141488	0.076311	657	56
LGSMD092-05	NEPTA175-13	0.396432	0.0797654	608	41
BBLOB918-11	DHLEP161-16	0.187786	0.0827648	656	42
ANICK177-10	CWLTH210-13	0.221912	0.0838047	657	33
GBGL26613-19	GBMIN79308-17	0.157412	0.143732	644	12
BBLPD499-10	FBLMU034-09	0.184998	0.0693848	656	28
BBLOC1110-11	TAMIC531-10	0.237749	0.171979	646	24
IBLPC319-10	PYRCR059-11	0.177844	0.0175905	634	39
ABLCU709-09	GBAAX64085-24	0.102452	0.159298	655	17
GWOR4534-09	LPRCL1578-22	0.130709	0.0866294	653	70
GBAAK3909-25	GBAAP2408-25	0.155939	0.136699	657	21
GWOUE929-20	LOCRD120-09	0.12772	0.103126	598	70
LNAUV1570-17	LNAUV1572-17	0.581562	0.128689	567	5
GBMIN33810-13	GWORR801-10	0.949268	0.123924	544	41
LOCRA525-07	LOCRI1027-11	0.0339133	0.0345576	657	44
BBUSA859-09	MNAR754-16	0.253851	0.114922	657	12
BCIGE509-11	GWOTA923-13	0.0450786	0.0424572	657	53
CRMLD4707-24	CRSAA22139-24	0.231745	0.166655	657	23
NGEOC321-11	NGSFT2541-16	0.743013	0.139987	556	2
BBLEC078-09	TXLEP516-17	0.251388	0.101096	657	20
ABLCW632-10	ABLCW671-10	0.0369399	0.0175018	407	33
BCIPY1016-21	KHCPY042-10	0.0866007	0.0718587	657	24
GWORU746-10	LOCB210-06	0.230607	0.133775	657	71
ABOLD734-20	GWOTX226-18	0.0397977	0.0312064	657	47
BCIPY399-10	BLPAA2624-17	0.085222	0.0811604	637	22
GBGL26595-19	GBMIN79316-17	0.0294301	0.104688	656	4
DAL006-10	DAL042-10	0.348229	0.125817	657	26
GWOR3595-08	GWORC952-08	0.0129974	0.0218176	608	54
LEPNO300-08	TONA025-06	0.0964773	0.0460509	608	53
CRQUC19594-23	LOCRE977-10	0.315467	0.0881856	657	54
GWOSK090-11	QMA3087-13	0.169212	0.064286	652	24
GWORU627-10	GWOSI261-10	0.0536269	0.0914646	657	60
GWOUE639-20	LNAUZ391-22	0.099992	0.098544	657	69
GWORE165-08	LOCB210-06	0.168504	0.110247	657	73
BCLEP2882-23	CGLCA080-10	0.255893	0.116899	654	71
BOPM172-12	SAMOA046-17	0.0980791	0.0426404	657	38
BLPDN038-10	GWOUE887-20	0.129011	0.113735	657	45
GWORM989-09	GWORU736-10	0.210748	0.115192	657	74
ANICJ114-10	GWOUH932-21	0.156901	0.128551	644	25
GWORM369-09	GWORM377-09	0.0704414	0.0244766	627	62
ABLCV650-09	BLTIB007-08	0.0892951	0.0647175	657	69
AKLEP468-24	BLTIB523-08	0.0762111	0.0495613	657	37
ASMIJ33354-24	FRUT023-09	0.215851	0.114967	657	8
GWOUK198-22	GWOUK244-22	0.043429	0.0439191	657	33
SAARA166-11	SASNC4720-21	0.191073	0.0330232	653	35
EPNG9565-16	LEUAE814-12	0.169047	0.109643	657	12
GWOR3368-08	PHLPM029-11	0.0964865	0.0932504	657	52
BHULP1263-22	CWLTH071-12	0.0631682	0.0232757	657	37
LGSMG365-07	MILEQ063-11	0.258327	0.0959346	657	36
CRQUC12842-23	GWOTN552-15	0.0550233	0.103104	657	64
BLUTI1791-19	GBLAB265-13	0.0543853	0.0477379	657	55
ABOLA697-14	GBMIN84606-17	0.340492	0.0930579	656	39
BCLEP2882-23	GWOUE926-20	0.21928	0.154795	654	71
GBGL26533-19	GBGL26603-19	0.0892195	0.0858546	655	4
AANIC226-11	ANIAE1388-11	0.0736008	0.0950713	538	31
CGLCA080-10	GWOUE926-20	0.156519	0.141475	657	78
BLPDT1784-10	LPRCL1578-22	0.131603	0.10393	653	68
EPNG8970-15	NSWHA3014-23	0.217398	0.118588	657	14
LEASS191-16	LEAST721-17	0.0680007	0.0280955	657	42
CRPEA16785-21	CRQUC48589-24	0.129973	0.13187	653	55
GWORG824-08	NGEOC520-11	0.11741	0.0473914	657	50
PMANL4831-15	PMANL4833-15	0.661236	0.0993048	563	4
ABLCU551-09	GBAAX82998-26	0.0898829	0.100872	657	22
GWOR5406-13	GWOUE889-20	0.111695	0.0891138	657	60
GWOSG021-10	GWOSH054-10	0.200576	0.0947614	656	16
CRCBB35468-23	LOCRD081-09	0.141042	0.118558	657	46
ANICO728-10	ANICO791-10	0.100645	0.0577721	657	49
GBMIN79402-17	LNAUU2311-15	0.113325	0.123235	616	32
GWORT400-10	GWOSN255-11	0.147809	0.139495	656	62
LEUAE799-12	SOWC856-06	0.356639	0.161739	605	2
BBLOC1628-11	CNCLB3623-16	0.0576992	0.0138898	657	52
GWORE068-08	LOCBB068-06	0.148131	0.117391	657	72
GWORD308-07	GWORD310-07	0.217059	0.0797453	596	53
GWORU922-10	IBILP648-19	0.159351	0.0543038	634	57
BLPDI415-09	BLPEE463-12	0.306558	0.205713	617	22
ABLCV357-09	GWOTM775-14	0.136827	0.107716	656	59
BLPAA13381-18	CRSRB1745-23	0.166945	0.0687172	657	67
LBEOW1171-11	MGABC377-10	0.18493	0.145205	657	36
GBMIN79317-17	LNAUV1454-17	0.699344	0.134369	561	1
GBGL26492-19	GBGL26575-19	0.037271	0.0377382	656	9
ANICL173-10	CNCLB3864-16	0.0807259	0.140532	657	46
ANICH165-10	LNAUV1572-17	0.467894	0.190205	655	3
INCTA873-10	SAMPA1670-19	0.324812	0.113332	657	16
INCTA860-10	LFGMP123-22	0.139312	0.0922552	657	48
ASARD2924-12	LYPIE661-09	0.159984	0.0942827	656	21
ANICD009-10	ANICD021-10	0.103785	0.0837124	657	18
BCLEP658-21	LEASU1160-18	0.151867	0.0962378	657	29
LASDG204-19	LASDG531-21	0.0769787	0.063999	523	55
JCCCF083-16	JICBO031-16	0.218995	0.106314	586	26
MABUT355-13	VNMB820-09	0.0898052	0.0345664	656	29
ABOLA447-14	FGMLM171-18	0.0457828	0.0296316	657	54
AFLAS165-14	LNOUB232-10	0.0606548	0.0505697	657	59
BGSNL295-23	BGSNL340-23	0.0679601	0.0764087	657	61
ASHYC5520-12	BLPDF897-09	0.260895	0.17783	657	19
GWOSB900-10	LOCRE378-10	0.159813	0.145569	657	70
GBGL20644-17	GBGL26529-19	0.0165989	0.0509817	655	12
GBGL26463-19	GBGL26625-19	0.0378842	0.0411131	656	6
CGLCA080-10	GWORE068-08	0.210633	0.117473	657	72
GWOUF455-20	LOCBB068-06	0.129213	0.161139	656	76
GWORL494-09	GWOTD856-12	0.0865346	0.0774725	657	64
BLPAA1027-17	GWORE068-08	0.109486	0.0929858	657	70
ANICW1313-11	IMLQ523-08	0.328724	0.117171	657	8
GBGL26595-19	GBGL26603-19	0.0938291	0.10125	655	3
GWORA2145-09	GWORU636-10	0.141779	0.137614	635	66
GWOR2274-08	GWOSK846-11	0.251718	0.178529	657	54
BLPEA637-11	PLWAY033-20	0.213548	0.173271	653	23
BLPAA13726-18	GWOSA163-10	0.146129	0.0908126	657	52
GWORM989-09	GWOUE926-20	0.139224	0.160861	657	74
ANICT1603-11	GWOTC552-13	0.271797	0.0594083	656	47
GBGL31497-19	SILEP004-22	0.125795	0.0481588	649	53
LPNGM083-07	LTOLB1381-11	0.102048	0.13652	657	16
INSSD647-20	LEUAE786-12	0.311208	0.147259	653	6
ANICT1270-11	ANICT1274-11	0.0863692	0.0344703	657	45
SPHPS048-10	SPTMA925-09	0.215111	0.13795	524	21
LNAUZ391-22	LOCRE139-10	0.152299	0.0929957	613	68
EPNG5599-12	EPNG8337-13	0.118597	0.059488	656	53
ANICB705-07	ANICP165-10	0.305084	0.153542	657	9
CRQUC16835-23	GWOSB900-10	0.173877	0.167355	657	69
BCIBT570-11	CRMLG5278-24	0.267222	0.134692	657	17
ABLCW501-10	JBAZ001-09	0.0610969	0.0975479	405	46
ANIAF067-11	ASMII2683-22	0.111222	0.105699	652	24
BLTIB007-08	GWOTX229-18	0.14512	0.110679	657	66
ABLCV191-09	NGSFT2424-16	0.534305	0.181135	634	1
CGLCA080-10	CRQZA18717-22	0.153309	0.143311	652	77
GBGL26533-19	GBGL26615-19	0.0586353	0.115181	656	5
GWOR5431-13	GWOSM106-11	0.134536	0.100946	657	43
MIAPD1648-22	MIAPD967-18	0.146292	0.109491	654	20
GWORU746-10	LOCBB068-06	0.176409	0.145205	657	71
GBGL26602-19	GBGL26603-19	0.0388017	0.10125	655	10
GWOSF323-10	GWOSF324-10	0.0166751	0.0185797	657	51
BCIBT353-10	BCIBT376-10	0.158743	0.115156	656	22
ANICS706-11	ZYCRM872-11	0.204996	0.129256	548	21
GBGL26566-19	PMANL4838-15	0.79752	0.147536	562	1
SACMA486-11	SARBE452-12	0.0606711	0.0154351	657	32
GWOSI458-10	GWOTN039-15	0.121608	0.10304	656	47
GWORA572-08	GWORU015-10	0.263109	0.118706	656	33
BLPEF4844-13	MNAP1201-13	0.310026	0.113367	656	3
LNAUV1454-17	PMANL4833-15	0.584175	0.146967	562	2
GWORD263-07	NGEOB421-10	0.184161	0.0746573	657	63
YAWAC396-15	YAWAN307-14	0.263813	0.148088	656	23
GBAAN176-25	GBAAZ29086-24	0.465749	0.0890392	548	15
ANICK982-10	ANICL017-10	0.163425	0.0672178	657	34
AMM003-09	LEASS359-17	0.338283	0.129976	588	19
LOCBB068-06	LPANT360-21	0.118607	0.122479	652	75
ABLCX397-10	LSEU293-06	0.0804822	0.0771704	657	39
BLPDU995-11	BLPDW502-11	0.230232	0.162652	657	14
BHULP969-22	LPNGD226-06	0.130407	0.102656	636	23
AMWW305-12	ANICJ378-10	0.124015	0.0361381	657	39
CRQZA18717-22	GWOUF455-20	0.141281	0.157788	651	76
BBLOE946-12	BGSNL1147-24	0.512715	0.131134	657	3
CRQZA18717-22	GWOUE926-20	0.116696	0.14769	652	77
BBLPD172-10	GMLC075-09	0.0352199	0.0217781	656	58
ALSTA468-17	ANICS183-11	0.105164	0.0941179	656	29
GWORL073-09	GWOSC125-10	0.249274	0.110679	657	53
ARISE3062-26	FGMLD849-13	0.0951623	0.0686754	657	53
BPAL429-11	BPAL434-11	0.0754012	0.0410482	657	42
GBAAX82399-26	IBILP1493-19	0.332774	0.129364	657	2
GBAAX56103-24	RIOGU1974-23	0.129072	0.0627593	653	28
BBLSY278-09	LBCG1281-09	0.02787	0.0185797	657	57
ANICW1415-11	ANICW1461-11	0.852253	0.0869981	548	16
GBGL25657-19	GBGL25658-19	0.186542	0.0425609	610	42
GWORD1979-08	GWORP135-09	0.425864	0.123302	511	61
BBUSA926-09	LGSMF090-06	0.0658108	0.0312064	657	40
JICCL945-16	JICCX982-16	0.232061	0.146259	587	14
ANICX1566-11	BCLEP4859-23	0.268653	0.236263	405	19
LEUAE786-12	LEUAE797-12	0.100317	0.117186	656	12
ABLCV412-09	GWORR142-10	0.339762	0.133518	657	59
ANICW1644-11	ANICW1649-11	0.100385	0.101855	656	25
GWOTS898-19	LOWA447-06	0.0834839	0.037679	657	45
BLPAA1027-17	BLPDU981-11	0.119517	0.088969	657	69
MIAPD1760-22	SARBF1705-15	0.179479	0.0381208	652	50
GWOTS113-17	GWOTS114-17	0.16322	0.0742243	657	48
GWOTR140-16	GWOTV904-18	0.0599601	0.03136	657	28
GBGL19586-15	MGABD540-11	0.236821	0.135296	639	31
BLPAA3299-17	GBAAW76792-24	0.134948	0.139156	504	20
GBGL26615-19	GBMIN79300-17	0.115903	0.104567	656	4
BOPM188-12	BOPMB090-13	0.0842357	0.0473469	657	38
DEEUR1623-18	DEEUR647-16	0.0532582	0.0343671	657	44
ANICW1179-11	GBAAK4924-25	0.187677	0.0805705	657	10
BLPAA8003-17	BLPDH492-09	0.0780356	0.1439	657	9
ANIAB958-11	NSWHD1848-24	0.171953	0.164582	407	26
CGLCA080-10	LOCB210-06	0.148706	0.071173	657	80
ARMOT132-12	MILEP187-10	0.225029	0.133871	657	48
GWOSW894-11	PLEAU306-19	0.514624	0.164369	652	6
BLPEF5422-13	BSNTN385-23	0.133443	0.0836722	657	43
GBGL26457-19	GBGL26492-19	0.0307965	0.0908187	656	10
GBGL26544-19	GBGL26570-19	0.236545	0.101647	558	13
ABLCX086-10	GWOR4978-09	0.189108	0.156951	650	71
GBGL28487-19	GBMIN81151-17	0.105943	0.124078	657	32
